,Chapter,Verse,Word
269,2.0,11.0,punishment
270,2.0,11.0,because
271,2.0,11.0,of
272,2.0,11.0,their
273,2.0,11.0,denial
274,2.0,11.0,
275,2.0,12.0,And
276,2.0,12.0,when
277,2.0,12.0,it
278,2.0,12.0,is
279,2.0,12.0,said
280,2.0,12.0,to
281,2.0,12.0,them
282,2.0,12.0,Do
283,2.0,12.0,not
284,2.0,12.0,make
285,2.0,12.0,trouble
286,2.0,12.0,on
287,2.0,12.0,earth
288,2.0,12.0,they
289,2.0,12.0,say
290,2.0,12.0,We
291,2.0,12.0,are
292,2.0,12.0,only
293,2.0,12.0,reformers
294,2.0,12.0,
295,2.0,13.0,In
296,2.0,13.0,fact
297,2.0,13.0,they
298,2.0,13.0,are
299,2.0,13.0,the
300,2.0,13.0,troublemakers
301,2.0,13.0,but
302,2.0,13.0,they
303,2.0,13.0,are
304,2.0,13.0,not
305,2.0,13.0,aware
306,2.0,13.0,
307,2.0,14.0,And
308,2.0,14.0,when
309,2.0,14.0,it
310,2.0,14.0,is
311,2.0,14.0,said
312,2.0,14.0,to
313,2.0,14.0,them
314,2.0,14.0,Believe
315,2.0,14.0,as
316,2.0,14.0,the
317,2.0,14.0,people
318,2.0,14.0,have
319,2.0,14.0,believed
320,2.0,14.0,they
321,2.0,14.0,say
322,2.0,14.0,Shall
323,2.0,14.0,we
324,2.0,14.0,believe
325,2.0,14.0,as
326,2.0,14.0,the
327,2.0,14.0,fools
328,2.0,14.0,have
329,2.0,14.0,believed
330,2.0,14.0,In
331,2.0,14.0,fact
332,2.0,14.0,it
333,2.0,14.0,is
334,2.0,14.0,they
335,2.0,14.0,who
336,2.0,14.0,are
337,2.0,14.0,the
338,2.0,14.0,fools
339,2.0,14.0,but
340,2.0,14.0,they
341,2.0,14.0,do
342,2.0,14.0,not
343,2.0,14.0,know
344,2.0,14.0,
345,2.0,15.0,And
346,2.0,15.0,when
347,2.0,15.0,they
348,2.0,15.0,come
349,2.0,15.0,across
350,2.0,15.0,those
351,2.0,15.0,who
352,2.0,15.0,believe
353,2.0,15.0,they
354,2.0,15.0,say
355,2.0,15.0,We
356,2.0,15.0,believe
357,2.0,15.0,but
358,2.0,15.0,when
359,2.0,15.0,they
360,2.0,15.0,are
361,2.0,15.0,alone
362,2.0,15.0,with
363,2.0,15.0,their
364,2.0,15.0,devils
365,2.0,15.0,they
366,2.0,15.0,say
367,2.0,15.0,We
368,2.0,15.0,are
369,2.0,15.0,with
370,2.0,15.0,you
371,2.0,15.0,we
372,2.0,15.0,were
373,2.0,15.0,only
374,2.0,15.0,ridiculing
375,2.0,15.0,
376,2.0,16.0,It
377,2.0,16.0,is
378,2.0,16.0,God
379,2.0,16.0,who
380,2.0,16.0,ridicules
381,2.0,16.0,them
382,2.0,16.0,and
383,2.0,16.0,leaves
384,2.0,16.0,them
385,2.0,16.0,bewildered
386,2.0,16.0,in
387,2.0,16.0,their
388,2.0,16.0,transgression
389,2.0,16.0,
390,2.0,17.0,Those
391,2.0,17.0,are
392,2.0,17.0,they
393,2.0,17.0,who
394,2.0,17.0,have
395,2.0,17.0,bartered
396,2.0,17.0,error
397,2.0,17.0,for
398,2.0,17.0,guidance
399,2.0,17.0,but
400,2.0,17.0,their
401,2.0,17.0,trade
402,2.0,17.0,does
403,2.0,17.0,not
404,2.0,17.0,profit
405,2.0,17.0,them
406,2.0,17.0,and
407,2.0,17.0,they
408,2.0,17.0,are
409,2.0,17.0,not
410,2.0,17.0,guided
411,2.0,17.0,
412,2.0,18.0,Their
413,2.0,18.0,likeness
414,2.0,18.0,is
415,2.0,18.0,that
416,2.0,18.0,of
417,2.0,18.0,a
418,2.0,18.0,person
419,2.0,18.0,who
420,2.0,18.0,kindled
421,2.0,18.0,a
422,2.0,18.0,fire
423,2.0,18.0,when
424,2.0,18.0,it
425,2.0,18.0,illuminated
426,2.0,18.0,all
427,2.0,18.0,around
428,2.0,18.0,him
429,2.0,18.0,God
430,2.0,18.0,took
431,2.0,18.0,away
432,2.0,18.0,their
433,2.0,18.0,light
434,2.0,18.0,and
435,2.0,18.0,left
436,2.0,18.0,them
437,2.0,18.0,in
438,2.0,18.0,darkness
439,2.0,18.0,unable
440,2.0,18.0,to
441,2.0,18.0,see
442,2.0,18.0,
443,2.0,19.0,Deaf
444,2.0,19.0,dumb
445,2.0,19.0,blind
446,2.0,19.0,They
447,2.0,19.0,will
448,2.0,19.0,not
449,2.0,19.0,return
450,2.0,19.0,
451,2.0,20.0,Or
452,2.0,20.0,like
453,2.0,20.0,a
454,2.0,20.0,cloudburst
455,2.0,20.0,from
456,2.0,20.0,the
457,2.0,20.0,sky
458,2.0,20.0,in
459,2.0,20.0,which
460,2.0,20.0,is
461,2.0,20.0,darkness
462,2.0,20.0,and
463,2.0,20.0,thunder
464,2.0,20.0,and
465,2.0,20.0,lightning
466,2.0,20.0,They
467,2.0,20.0,press
468,2.0,20.0,their
469,2.0,20.0,fingers
470,2.0,20.0,into
471,2.0,20.0,their
472,2.0,20.0,ears
473,2.0,20.0,from
474,2.0,20.0,the
475,2.0,20.0,thunderbolts
476,2.0,20.0,in
477,2.0,20.0,fear
478,2.0,20.0,of
479,2.0,20.0,death
480,2.0,20.0,But
481,2.0,20.0,God
482,2.0,20.0,surrounds
483,2.0,20.0,the
484,2.0,20.0,disbelievers
485,2.0,20.0,
486,2.0,21.0,The
487,2.0,21.0,lightning
488,2.0,21.0,almost
489,2.0,21.0,snatches
490,2.0,21.0,their
491,2.0,21.0,sight
492,2.0,21.0,away
493,2.0,21.0,Whenever
494,2.0,21.0,it
495,2.0,21.0,illuminates
496,2.0,21.0,for
497,2.0,21.0,them
498,2.0,21.0,they
499,2.0,21.0,walk
500,2.0,21.0,in
501,2.0,21.0,it
502,2.0,21.0,but
503,2.0,21.0,when
504,2.0,21.0,it
505,2.0,21.0,grows
506,2.0,21.0,dark
507,2.0,21.0,over
508,2.0,21.0,them
509,2.0,21.0,they
510,2.0,21.0,stand
511,2.0,21.0,still
512,2.0,21.0,Had
513,2.0,21.0,God
514,2.0,21.0,willed
515,2.0,21.0,He
516,2.0,21.0,could
517,2.0,21.0,have
518,2.0,21.0,taken
519,2.0,21.0,away
520,2.0,21.0,their
521,2.0,21.0,hearing
522,2.0,21.0,and
523,2.0,21.0,their
524,2.0,21.0,sight
525,2.0,21.0,God
526,2.0,21.0,is
527,2.0,21.0,capable
528,2.0,21.0,of
529,2.0,21.0,everything
530,2.0,21.0,
531,2.0,22.0,O
532,2.0,22.0,people
533,2.0,22.0,Worship
534,2.0,22.0,your
535,2.0,22.0,Lord
536,2.0,22.0,who
537,2.0,22.0,created
538,2.0,22.0,you
539,2.0,22.0,and
540,2.0,22.0,those
541,2.0,22.0,before
542,2.0,22.0,you
543,2.0,22.0,that
544,2.0,22.0,you
545,2.0,22.0,may
546,2.0,22.0,attain
547,2.0,22.0,piety
548,2.0,22.0,
549,2.0,23.0,He
550,2.0,23.0,who
551,2.0,23.0,made
552,2.0,23.0,the
553,2.0,23.0,earth
554,2.0,23.0,a
555,2.0,23.0,habitat
556,2.0,23.0,for
557,2.0,23.0,you
558,2.0,23.0,and
559,2.0,23.0,the
560,2.0,23.0,sky
561,2.0,23.0,a
562,2.0,23.0,structure
563,2.0,23.0,and
564,2.0,23.0,sends
565,2.0,23.0,water
566,2.0,23.0,down
567,2.0,23.0,from
568,2.0,23.0,the
569,2.0,23.0,sky
570,2.0,23.0,and
571,2.0,23.0,brings
572,2.0,23.0,out
573,2.0,23.0,fruits
574,2.0,23.0,thereby
575,2.0,23.0,as
576,2.0,23.0,a
577,2.0,23.0,sustenance
578,2.0,23.0,for
579,2.0,23.0,you
580,2.0,23.0,Therefore
581,2.0,23.0,do
582,2.0,23.0,not
583,2.0,23.0,assign
584,2.0,23.0,rivals
585,2.0,23.0,to
586,2.0,23.0,God
587,2.0,23.0,while
588,2.0,23.0,you
589,2.0,23.0,know
590,2.0,23.0,
591,2.0,24.0,And
592,2.0,24.0,if
593,2.0,24.0,you
594,2.0,24.0,are
595,2.0,24.0,in
596,2.0,24.0,doubt
597,2.0,24.0,about
598,2.0,24.0,what
599,2.0,24.0,We
600,2.0,24.0,have
601,2.0,24.0,revealed
602,2.0,24.0,to
603,2.0,24.0,Our
604,2.0,24.0,servant
605,2.0,24.0,then
606,2.0,24.0,produce
607,2.0,24.0,a
608,2.0,24.0,chapter
609,2.0,24.0,like
610,2.0,24.0,these
611,2.0,24.0,and
612,2.0,24.0,call
613,2.0,24.0,your
614,2.0,24.0,witnesses
615,2.0,24.0,apart
616,2.0,24.0,from
617,2.0,24.0,God
618,2.0,24.0,if
619,2.0,24.0,you
620,2.0,24.0,are
621,2.0,24.0,truthful
622,2.0,24.0,
623,2.0,25.0,But
624,2.0,25.0,if
625,2.0,25.0,you
626,2.0,25.0,do
627,2.0,25.0,notand
628,2.0,25.0,you
629,2.0,25.0,will
630,2.0,25.0,notthen
631,2.0,25.0,beware
632,2.0,25.0,the
633,2.0,25.0,Fire
634,2.0,25.0,whose
635,2.0,25.0,fuel
636,2.0,25.0,is
637,2.0,25.0,people
638,2.0,25.0,and
639,2.0,25.0,stones
640,2.0,25.0,prepared
641,2.0,25.0,for
642,2.0,25.0,the
643,2.0,25.0,disbelievers
644,2.0,25.0,
645,2.0,26.0,And
646,2.0,26.0,give
647,2.0,26.0,good
648,2.0,26.0,news
649,2.0,26.0,to
650,2.0,26.0,those
651,2.0,26.0,who
652,2.0,26.0,believe
653,2.0,26.0,and
654,2.0,26.0,do
655,2.0,26.0,righteous
656,2.0,26.0,deeds
657,2.0,26.0,that
658,2.0,26.0,they
659,2.0,26.0,will
660,2.0,26.0,have
661,2.0,26.0,gardens
662,2.0,26.0,beneath
663,2.0,26.0,which
664,2.0,26.0,rivers
665,2.0,26.0,flow
666,2.0,26.0,Whenever
667,2.0,26.0,they
668,2.0,26.0,are
669,2.0,26.0,provided
670,2.0,26.0,with
671,2.0,26.0,fruit
672,2.0,26.0,therefrom
673,2.0,26.0,as
674,2.0,26.0,sustenance
675,2.0,26.0,they
676,2.0,26.0,will
677,2.0,26.0,say
678,2.0,26.0,This
679,2.0,26.0,is
680,2.0,26.0,what
681,2.0,26.0,we
682,2.0,26.0,were
683,2.0,26.0,provided
684,2.0,26.0,with
685,2.0,26.0,before
686,2.0,26.0,and
687,2.0,26.0,they
688,2.0,26.0,will
689,2.0,26.0,be
690,2.0,26.0,given
691,2.0,26.0,the
692,2.0,26.0,like
693,2.0,26.0,of
694,2.0,26.0,it
695,2.0,26.0,And
696,2.0,26.0,they
697,2.0,26.0,will
698,2.0,26.0,have
699,2.0,26.0,pure
700,2.0,26.0,spouses
701,2.0,26.0,therein
702,2.0,26.0,and
703,2.0,26.0,they
704,2.0,26.0,will
705,2.0,26.0,abide
706,2.0,26.0,therein
707,2.0,26.0,forever
708,2.0,26.0,
709,2.0,27.0,God
710,2.0,27.0,does
711,2.0,27.0,not
712,2.0,27.0,shy
713,2.0,27.0,away
714,2.0,27.0,from
715,2.0,27.0,making
716,2.0,27.0,an
717,2.0,27.0,example
718,2.0,27.0,of
719,2.0,27.0,a
720,2.0,27.0,gnat
721,2.0,27.0,or
722,2.0,27.0,something
723,2.0,27.0,above
724,2.0,27.0,it
725,2.0,27.0,As
726,2.0,27.0,for
727,2.0,27.0,those
728,2.0,27.0,who
729,2.0,27.0,believe
730,2.0,27.0,they
731,2.0,27.0,know
732,2.0,27.0,that
733,2.0,27.0,it
734,2.0,27.0,is
735,2.0,27.0,the
736,2.0,27.0,Truth
737,2.0,27.0,from
738,2.0,27.0,their
739,2.0,27.0,Lord
740,2.0,27.0,But
741,2.0,27.0,as
742,2.0,27.0,for
743,2.0,27.0,those
744,2.0,27.0,who
745,2.0,27.0,disbelieve
746,2.0,27.0,they
747,2.0,27.0,say
748,2.0,27.0,What
749,2.0,27.0,did
750,2.0,27.0,God
751,2.0,27.0,intend
752,2.0,27.0,by
753,2.0,27.0,this
754,2.0,27.0,example
755,2.0,27.0,He
756,2.0,27.0,leads
757,2.0,27.0,astray
758,2.0,27.0,many
759,2.0,27.0,thereby
760,2.0,27.0,and
761,2.0,27.0,He
762,2.0,27.0,guides
763,2.0,27.0,many
764,2.0,27.0,thereby
765,2.0,27.0,but
766,2.0,27.0,He
767,2.0,27.0,misleads
768,2.0,27.0,thereby
769,2.0,27.0,only
770,2.0,27.0,the
771,2.0,27.0,evildoers
772,2.0,27.0,
773,2.0,28.0,Those
774,2.0,28.0,who
775,2.0,28.0,violate
776,2.0,28.0,Gods
777,2.0,28.0,covenant
778,2.0,28.0,after
779,2.0,28.0,its
780,2.0,28.0,confirmation
781,2.0,28.0,and
782,2.0,28.0,sever
783,2.0,28.0,what
784,2.0,28.0,God
785,2.0,28.0,has
786,2.0,28.0,commanded
787,2.0,28.0,to
788,2.0,28.0,be
789,2.0,28.0,joined
790,2.0,28.0,and
791,2.0,28.0,commit
792,2.0,28.0,evil
793,2.0,28.0,on
794,2.0,28.0,earth
795,2.0,28.0,These
796,2.0,28.0,are
797,2.0,28.0,the
798,2.0,28.0,losers
799,2.0,28.0,
800,2.0,29.0,How
801,2.0,29.0,can
802,2.0,29.0,you
803,2.0,29.0,deny
804,2.0,29.0,God
805,2.0,29.0,when
806,2.0,29.0,you
807,2.0,29.0,were
808,2.0,29.0,dead
809,2.0,29.0,and
810,2.0,29.0,He
811,2.0,29.0,gave
812,2.0,29.0,you
813,2.0,29.0,life
814,2.0,29.0,then
815,2.0,29.0,He
816,2.0,29.0,will
817,2.0,29.0,put
818,2.0,29.0,you
819,2.0,29.0,to
820,2.0,29.0,death
821,2.0,29.0,then
822,2.0,29.0,He
823,2.0,29.0,will
824,2.0,29.0,bring
825,2.0,29.0,you
826,2.0,29.0,to
827,2.0,29.0,life
828,2.0,29.0,then
829,2.0,29.0,to
830,2.0,29.0,Him
831,2.0,29.0,you
832,2.0,29.0,will
833,2.0,29.0,be
834,2.0,29.0,returned
835,2.0,29.0,
836,2.0,30.0,It
837,2.0,30.0,is
838,2.0,30.0,He
839,2.0,30.0,who
840,2.0,30.0,created
841,2.0,30.0,for
842,2.0,30.0,you
843,2.0,30.0,everything
844,2.0,30.0,on
845,2.0,30.0,earth
846,2.0,30.0,then
847,2.0,30.0,turned
848,2.0,30.0,to
849,2.0,30.0,the
850,2.0,30.0,heaven
851,2.0,30.0,and
852,2.0,30.0,made
853,2.0,30.0,them
854,2.0,30.0,seven
855,2.0,30.0,heavens
856,2.0,30.0,And
857,2.0,30.0,He
858,2.0,30.0,is
859,2.0,30.0,aware
860,2.0,30.0,of
861,2.0,30.0,all
862,2.0,30.0,things
863,2.0,30.0,
864,2.0,31.0,When
865,2.0,31.0,your
866,2.0,31.0,Lord
867,2.0,31.0,said
868,2.0,31.0,to
869,2.0,31.0,the
870,2.0,31.0,angels
871,2.0,31.0,I
872,2.0,31.0,am
873,2.0,31.0,placing
874,2.0,31.0,a
875,2.0,31.0,successor
876,2.0,31.0,on
877,2.0,31.0,earth
878,2.0,31.0,They
879,2.0,31.0,said
880,2.0,31.0,Will
881,2.0,31.0,You
882,2.0,31.0,place
883,2.0,31.0,in
884,2.0,31.0,it
885,2.0,31.0,someone
886,2.0,31.0,who
887,2.0,31.0,will
888,2.0,31.0,cause
889,2.0,31.0,corruption
890,2.0,31.0,in
891,2.0,31.0,it
892,2.0,31.0,and
893,2.0,31.0,shed
894,2.0,31.0,blood
895,2.0,31.0,while
896,2.0,31.0,we
897,2.0,31.0,declare
898,2.0,31.0,Your
899,2.0,31.0,praises
900,2.0,31.0,and
901,2.0,31.0,sanctify
902,2.0,31.0,You
903,2.0,31.0,He
904,2.0,31.0,said
905,2.0,31.0,I
906,2.0,31.0,know
907,2.0,31.0,what
908,2.0,31.0,you
909,2.0,31.0,do
910,2.0,31.0,not
911,2.0,31.0,know
912,2.0,31.0,
913,2.0,32.0,And
914,2.0,32.0,He
915,2.0,32.0,taught
916,2.0,32.0,Adam
917,2.0,32.0,the
918,2.0,32.0,names
919,2.0,32.0,all
920,2.0,32.0,of
921,2.0,32.0,them
922,2.0,32.0,then
923,2.0,32.0,he
924,2.0,32.0,presented
925,2.0,32.0,them
926,2.0,32.0,to
927,2.0,32.0,the
928,2.0,32.0,angels
929,2.0,32.0,and
930,2.0,32.0,said
931,2.0,32.0,Tell
932,2.0,32.0,Me
933,2.0,32.0,the
934,2.0,32.0,names
935,2.0,32.0,of
936,2.0,32.0,these
937,2.0,32.0,if
938,2.0,32.0,you
939,2.0,32.0,are
940,2.0,32.0,sincere
941,2.0,32.0,
942,2.0,33.0,They
943,2.0,33.0,said
944,2.0,33.0,Glory
945,2.0,33.0,be
946,2.0,33.0,to
947,2.0,33.0,You
948,2.0,33.0,We
949,2.0,33.0,have
950,2.0,33.0,no
951,2.0,33.0,knowledge
952,2.0,33.0,except
953,2.0,33.0,what
954,2.0,33.0,You
955,2.0,33.0,have
956,2.0,33.0,taught
957,2.0,33.0,us
958,2.0,33.0,It
959,2.0,33.0,is
960,2.0,33.0,you
961,2.0,33.0,who
962,2.0,33.0,are
963,2.0,33.0,the
964,2.0,33.0,Knowledgeable
965,2.0,33.0,the
966,2.0,33.0,Wise
967,2.0,33.0,
968,2.0,34.0,He
969,2.0,34.0,said
970,2.0,34.0,O
971,2.0,34.0,Adam
972,2.0,34.0,tell
973,2.0,34.0,them
974,2.0,34.0,their
975,2.0,34.0,names
976,2.0,34.0,And
977,2.0,34.0,when
978,2.0,34.0,he
979,2.0,34.0,told
980,2.0,34.0,them
981,2.0,34.0,their
982,2.0,34.0,names
983,2.0,34.0,He
984,2.0,34.0,said
985,2.0,34.0,Did
986,2.0,34.0,I
987,2.0,34.0,not
988,2.0,34.0,tell
989,2.0,34.0,you
990,2.0,34.0,that
991,2.0,34.0,I
992,2.0,34.0,know
993,2.0,34.0,the
994,2.0,34.0,secrets
995,2.0,34.0,of
996,2.0,34.0,the
997,2.0,34.0,heavens
998,2.0,34.0,and
999,2.0,34.0,the
1000,2.0,34.0,earth
1001,2.0,34.0,and
1002,2.0,34.0,that
1003,2.0,34.0,I
1004,2.0,34.0,know
1005,2.0,34.0,what
1006,2.0,34.0,you
1007,2.0,34.0,reveal
1008,2.0,34.0,and
1009,2.0,34.0,what
1010,2.0,34.0,you
1011,2.0,34.0,conceal
1012,2.0,34.0,
1013,2.0,35.0,And
1014,2.0,35.0,We
1015,2.0,35.0,said
1016,2.0,35.0,to
1017,2.0,35.0,the
1018,2.0,35.0,angels
1019,2.0,35.0,Bow
1020,2.0,35.0,down
1021,2.0,35.0,to
1022,2.0,35.0,Adam
1023,2.0,35.0,They
1024,2.0,35.0,bowed
1025,2.0,35.0,down
1026,2.0,35.0,except
1027,2.0,35.0,for
1028,2.0,35.0,Satan
1029,2.0,35.0,He
1030,2.0,35.0,refused
1031,2.0,35.0,was
1032,2.0,35.0,arrogant
1033,2.0,35.0,and
1034,2.0,35.0,was
1035,2.0,35.0,one
1036,2.0,35.0,of
1037,2.0,35.0,the
1038,2.0,35.0,disbelievers
1039,2.0,35.0,
1040,2.0,36.0,We
1041,2.0,36.0,said
1042,2.0,36.0,O
1043,2.0,36.0,Adam
1044,2.0,36.0,inhabit
1045,2.0,36.0,the
1046,2.0,36.0,Garden
1047,2.0,36.0,you
1048,2.0,36.0,and
1049,2.0,36.0,your
1050,2.0,36.0,spouse
1051,2.0,36.0,and
1052,2.0,36.0,eat
1053,2.0,36.0,from
1054,2.0,36.0,it
1055,2.0,36.0,freely
1056,2.0,36.0,as
1057,2.0,36.0,you
1058,2.0,36.0,please
1059,2.0,36.0,but
1060,2.0,36.0,do
1061,2.0,36.0,not
1062,2.0,36.0,approach
1063,2.0,36.0,this
1064,2.0,36.0,tree
1065,2.0,36.0,lest
1066,2.0,36.0,you
1067,2.0,36.0,become
1068,2.0,36.0,wrongdoers
1069,2.0,36.0,
1070,2.0,37.0,But
1071,2.0,37.0,Satan
1072,2.0,37.0,caused
1073,2.0,37.0,them
1074,2.0,37.0,to
1075,2.0,37.0,slip
1076,2.0,37.0,from
1077,2.0,37.0,it
1078,2.0,37.0,and
1079,2.0,37.0,caused
1080,2.0,37.0,them
1081,2.0,37.0,to
1082,2.0,37.0,depart
1083,2.0,37.0,the
1084,2.0,37.0,state
1085,2.0,37.0,they
1086,2.0,37.0,were
1087,2.0,37.0,in
1088,2.0,37.0,We
1089,2.0,37.0,said
1090,2.0,37.0,Go
1091,2.0,37.0,down
1092,2.0,37.0,some
1093,2.0,37.0,of
1094,2.0,37.0,you
1095,2.0,37.0,enemies
1096,2.0,37.0,of
1097,2.0,37.0,one
1098,2.0,37.0,another
1099,2.0,37.0,And
1100,2.0,37.0,you
1101,2.0,37.0,will
1102,2.0,37.0,have
1103,2.0,37.0,residence
1104,2.0,37.0,on
1105,2.0,37.0,earth
1106,2.0,37.0,and
1107,2.0,37.0,enjoyment
1108,2.0,37.0,for
1109,2.0,37.0,a
1110,2.0,37.0,while
1111,2.0,37.0,
1112,2.0,38.0,Then
1113,2.0,38.0,Adam
1114,2.0,38.0,received
1115,2.0,38.0,words
