"","Year","Party","President","VicePresident","ElectoralVote","ElectoralPerc","PopularVote","PopularPerc"
"39",1852," Democratic","Franklin Pierce","William R. King","254","85.8%","1,607,510","50.8%"
"40",1852," Whig","Winfield Scott","William Graham","42","14.2%","1,386,942","43.9%"
"41",1852," Free Soil","John P. Hale","George Washington Julian","0","0%","155,210"," 4.9%"
"42",1856," Democratic","James Buchanan","John C. Breckinridge","174","58.8%","1,836,072","45.3%"
"43",1856," Republican","John C. Fremont","William L. Dayton","114","38.5%","1,342,345","33.1%"
"44",1856," Whig-American","Millard Fillmore","Andrew Jackson Donelson","8","2.7%","873,053"," 21.6%"
"45",1860," Republican","Abraham Lincoln","Hannibal Hamlin","180","59.4%","1,865,908","39.9%"
"46",1860," Southern Democratic","John Breckenridge","Joseph Lane","72","23.8%","848,019","18.1%"
"47",1860," Constitutional Union","John Bell","Edward Everett","39","12.9%","590,901"," 12.6%"
"48",1860," Democratic","Stephen Douglas","Herschel Johnson","12","4.0%","1,380,202","29.5%"
"49",1864," Republican","Abraham Lincoln","Andrew Johnson","212","90.6%","2,220,846","55.1%"
"50",1864," Democratic","George McClellan","George Pendleton","21","9.0%","1,809,445","44.9%"
"51",1868," Republican","Ulysses S. Grant","Schuyler Colfax","214","72.8%","3,013,650","52.7%"
"52",1868," Democratic","Horatio Seymour","Francis Blair, Jr.","80","27.2%","2,708,744","47.3%"
"53",1872," Republican","Ulysses S. Grant","Henry Wilson","286","81.9%","3,598,468","55.6%"
"54",1872," Democratic","Horace Greeley","Benjamin Brown","0","0.0%","2,835,315","43.8%"
"55",1876," Republican","Rutherford B. Hayes","William Wheeler","185","50.1%","4,033,497","48.0%"
"56",1876," Democratic","Samuel Tilden","Thomas Hendricks","184","49.9%","4,288,191","51.0%"
"57",1880," Republican","James A. Garfield","Chester A. Arthur","214","58.0%","4,453,611","48.3%"
"58",1880," Democratic","Winfield S. Hancock","William English","155","42.0%","4,445,256","48.2%"
"59",1884," Democratic","Grover Cleveland","Thomas Hendricks","219","54.6%","4,915,586","48.9%"
"60",1884," Republican","James G. Blane","John Logan","182","45.4%","4,852,916","48.2%"
"61",1888," Republican","Benjamin Harrison","Levi Morton","233","58.1%","5,449,825","47.8%"
"62",1888," Democratic","Grover Cleveland","Allen Thurman","168","41.9%","5,539,118","48.6%"
"63",1892," Democratic","Grover Cleveland","Adlai E. Stevenson","277","62.4%","5,554,617","46.0%"
"64",1892," Republican","Benjamin Harrison","Whitelaw Reid","145","32.7%","5,186,793","43.0%"
"65",1892," Populist","James B. Weaver","James Field","22","5.0%","1,029,357","8.5%"
"66",1896," Republican","William McKinley","Garret Hobart","271","61.0%","7,105,076","51.1%"
"67",1896," Democratic","William Jennings Bryan","Sewall/Watson","176","39.6%","6,370,897","45.8%"
"68",1900," Republican","William McKinley","Theodore Roosevelt","292","65.3%","7,219,193","51.7%"
"69",1900," Democratic","William Jennings Bryan","Adlai E. Stevenson","155","34.7%","6,357,698","45.5%"
"70",1904," Republican","Theodore Roosevelt","Charles Fairbanks","336","70.6%","7,625,599","56.4%"
"71",1904," Democratic","Alton B. Parker","Henry Davis","140","29.4%","5,083,501","37.6%"
"72",1908," Republican","William Howard Taft","James S. Sherman","321","66.5%","7,676,598","51.6%"
"73",1908," Democratic","William Jennings Bryan","John Kern","162","33.5%","6,406,874","43.0%"
"74",1912," Democratic","Woodrow Wilson","Thomas R. Marshall","435","81.9%","6,294,327","41.8%"
"75",1912," Progressive","Theodore Roosevelt","Hiram Johnson","88","16.6%","4,120,207","27.4%"
"76",1912," Republican","William Howard Taft","Nicholas Butler","8","1.5%","3,486,343"," 23.2%"
"77",1912," Socialist","Eugene V. Debs","Emil Seidel","0","0%","900,370","6.0%"
"78",1916," Democratic","Woodrow Wilson","Thomas Marshall","277","52.2%","9,126,063","49.2%"
"79",1916," Republican","Charles E. Hughes","Charles W. Fairbanks","254","47.8%","8,547,030","46.1%"
"80",1920," Republican","Warren G. Harding","Calvin Coolidge","404","76.1%","16,151,916","60.3%"
"81",1920," Democratic","James M. Cox","Franklin D. Roosevelt","127","23.9%","9,134,074","34.1%"
"82",1924," Republican","Calvin Coolidge","Charles G. Dawes","382","71.9%","15,724,310","54.0%"
"83",1924," Democratic","John W. Davis","Charles W. Bryan","136","25.6%","8,386,532","28.8%"
"84",1924," Progressive","Robert LaFollette","Burton K. Wheeler","13","2.4%","4,827,184"," 16.6%"
"85",1928," Republican","Herbert Hoover","Charles Curtis","444","83.6%","21,432,823","58.2%"
"86",1928," Democratic","Alfred E. Smith","Joseph Robinson","87","16.4%","15,004,336","40.8%"
"87",1932," Democratic","Franklin D. Roosevelt","John Garner","472","88.9%","22,818,740","57.4%"
"88",1932," Republican","Herbert Hoover","Charles Curtis","59","11.1%","15,760,425","39.6%"
"89",1936," Democratic","Franklin D. Roosevelt","John Garner","523","98.5%","27,750,866","60.8%"
"90",1936," Republican","Alfred M. Landon","Frank Knox","8","1.5%","16,679,683","36.5%"
"91",1940," Democratic","Franklin D. Roosevelt","Henry A. Wallace","449","84.6%","27,243,218","54.7%"
"92",1940," Republican","Wendell L. Willkie","Charles L. McNary","82","15.4%","22,334,940","44.8%"
"93",1944," Democratic","Franklin D. Roosevelt","Harry S Truman","432","81.4%","25,612,610","53.4%"
"94",1944," Republican","Thomas E. Dewey","John W. Bricker","99","18.6%","22,014,160","45.9%"
"95",1948," Democratic","Harry S Truman","Alben W. Barkley","303","57.1%","24,105,810","49.5%"
"96",1948," Republican","Thomas E. Dewey","Earl Warren","189","35.6%","21,970,064","45.1%"
"97",1948," States' Rights","Strom Thurmond","Fielding Wright","39","7.3%","1,169,114","2.4%"
"98",1952," Republican","Dwight D. Eisenhower","Richard M. Nixon","442","83.2%","33,777,945","54.9%"
"99",1952," Democratic","Adlai Stevenson","John Sparkman","89","16.8%","27,314,992","44.4%"
"100",1956," Republican","Dwight D. Eisenhower","Richard M. Nixon","457","86.1%","35,590,472","57.4%"
"101",1956," Democratic","Adlai Stevenson","Estes Kefauver","73","13.7%","26,022,752","42.0%"
"102",1960," Democratic","John F. Kennedy","Lyndon B. Johnson","303","56.4%","34,226,731","49.7%"
"103",1960," Republican","Richard M. Nixon","Henry Cabot Lodge","219","40.8%","34,108,157","49.5%"
"104",1960," Democratic","Harry F. Byrd","Strom Thurmond","15","2.8%","0","0%"
"105",1964," Democratic","Lyndon B. Johnson","Hubert H. Humphrey","486","90.3%","43,129,566","61.1%"
"106",1964," Republican","Barry Goldwater","William E. Miller","52","9.7%","27,178,188","38.5%"
"107",1968," Republican","Richard Nixon","Spiro Agnew","301","55.9%","31,785,480","43.4%"
"108",1968," Democratic","Hubert Humphrey","Edmund Muskie","191","35.5%","31,275,166","42.7%"
"109",1968," American Independent","George Wallace","Curtis LeMay","45","8.4%","9,906,473"," 13.5%"
"110",1972," Republican","Richard M. Nixon","Spiro Agnew","520","96.7%","47,169,911","60.7%"
"111",1972," Democratic","George McGovern","Sargent Shriver","17","3.2%","29,170,383","37.5%"
"112",1976," Democratic","Jimmy Carter","Walter Mondale","297","55.2%","40,830,763","50.1%"
"113",1976," Republican","Gerald R. Ford","Robert Dole","240","44.6%","39,147,793","48.0%"
"114",1980," Republican","Ronald Reagan","George Bush","489","90.9%","43,904,153","50.7%"
"115",1980," Democratic","Jimmy Carter","Walter Mondale","49","9.1%","35,483,883","41.0%"
"116",1980," Independent","John Anderson","Patrick Lucey","0","0%","5,720,060"," 6.6%"
"117",1984," Republican","Ronald Reagan","George Bush","525","97.6%","54,455,075","58.8%"
"118",1984," Democratic","Walter Mondale","Geraldine Ferraro","13","2.4%","37,577,185","40.6%"
"119",1988," Republican","George Bush","Dan Quayle","426","79.2%","48,886,097","53.4%"
"120",1988," Democratic","Michael Dukakis","Lloyd Bentsen","111","20.6%","41,809,074","45.6%"
"121",1992," Democratic","William J. Clinton","Albert Gore, Jr.","370","68.8%","44,909,326","43.0%"
"122",1992," Republican","George Bush","Dan Quayle","168","31.2%","39,103,882","37.4%"
"123",1992," Independent","H. Ross Perot","James Stockdale","0","0%","19,741,657"," 18.9%"
"124",1996," Democratic","William J. Clinton","Albert Gore, Jr.","379","70.4%","47,402,357","49.2%"
"125",1996," Republican","Robert Dole","Jack Kemp","159","29.6%","39,198,755","40.7%"
"126",1996," Reform","H. Ross Perot","Pat Choate","0","0%","8,085,402"," 8.4%"
"127",2000," Republican","George W. Bush","Richard Cheney","271","50.4%","50,455,156","47.9%"
"128",2000," Democratic","Albert Gore, Jr.","Joseph Lieberman","266","49.4%","50,992,335","48.4%"
"129",2000," Green","Ralph Nader","Winona LaDuke","0","0%","2,882,738"," 2.7%"
"130",2004," Republican","George W. Bush","Richard Cheney","286","53.2%","62,040,610","50.7%"
"131",2004," Democratic","John Kerry","John Edwards","251","46.7%","59,028,444","48.3%"
"132",2008," Democratic","Barack Obama","Joseph Biden","365","67.8%","69,456,897","52.9%"
"133",2008," Republican","John McCain","Sarah Palin","173","32.2%","59,934,814","45.7%"
"134",2012," Democratic","Barack Obama","Joseph Biden","332","61.7%","65,899,660","51.1%"
"135",2012," Republican","Mitt Romney","Paul Ryan","206","38.3%","60,932,152","47.2%"
"136",2016," Democratic","Hillary Clinton","Tim Kaine","232","43.1%","65,794,564","48.3%"
"137",2016," Republican","Donald Trump","Mike Pence","306","56.9%","62,955,340","46.2%"
"138",2016," Libertarian","Gary Johnson","William Weld","0","--","4,487,569","3.3%"
"139",2016," Green","Jill Stein","Ajamu Baraka","0","--","1,448,603","1.1%"
"140",2016,NA,NA,NA,NA,NA,NA,NA
